PeakID (cmd=annotatePeaks.pl beds/community1.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1647	chr13	99753585	99753783	+	0	NA	Intergenic	ID_B1|SINE|B4	146999	NM_001081493	27220		NM_013732	ENSMUSG00000021647	Cartpt	Cart	CART prepropeptide	protein-coding
3188	chr4	136214495	136215419	+	0	NA	intron (NM_001355698, intron 1 of 24)	intron (NM_001355698, intron 1 of 24)	8592	NM_001008232	230837		NM_001008232	ENSMUSG00000036995	Asap3	9430088F20Rik|Ddefl1|Gm140|UPLC1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	protein-coding
1560	chr13	29034472	29034820	+	0	NA	intron (NR_045073, intron 5 of 5)	intron (NR_045073, intron 5 of 5)	18391	NR_045073	77920		NR_045073	ENSMUSG00000086363	A330102I10Rik	-	RIKEN cDNA A330102I10 gene	ncRNA
5862	chr7	141394234	141394574	+	0	NA	intron (NM_011528, intron 1 of 7)	intron (NM_011528, intron 1 of 7)	2244	NM_011528	21351		NM_011528	ENSMUSG00000025503	Taldo1	-	transaldolase 1	protein-coding
2864	chr3	85710691	85711038	+	0	NA	intron (NM_172682, intron 5 of 11)	MTE2a|LTR|ERVL-MaLR	35345	NM_172682	229488		NM_172682	ENSMUSG00000051000	Fhip1a	9930021J17Rik|Fam160a1	FHF complex subunit HOOK interacting protein 1A	protein-coding
2233	chr17	74294268	74295866	+	0	NA	promoter-TSS (NM_133771)	promoter-TSS (NM_133771)	-204	NM_133771	76890		NM_133771	ENSMUSG00000058704	Memo1	0610016J10Rik|D930048L02Rik	mediator of cell motility 1	protein-coding
327	chr19	44314179	44315165	+	0	NA	Intergenic	Intergenic	11501	NR_039574	100628619		NR_039574	ENSMUSG00000093315	Mir5114	mmu-mir-5114|mu-mir-5114	microRNA 5114	ncRNA
2721	chr2	154603144	154604314	+	0	NA	promoter-TSS (NM_021534)	promoter-TSS (NM_021534)	-56	NM_021534	59038		NM_021534	ENSMUSG00000000876	Pxmp4	3010018P03Rik|Pmp24	peroxisomal membrane protein 4	protein-coding
1689	chr13	119389259	119389670	+	0	NA	intron (NM_008710, intron 4 of 16)	MIR|SINE|MIR	19547	NM_008710	18115		NM_008710	ENSMUSG00000116207	Nnt	4930423F13Rik	nicotinamide nucleotide transhydrogenase	protein-coding
155	chr13	37756322	37756749	+	0	NA	Intergenic	MLT1F1|LTR|ERVL-MaLR	-69503	NM_026830	68750		NM_026830	ENSMUSG00000039087	Rreb1	1110037N09Rik|B930013M22Rik|sao	ras responsive element binding protein 1	protein-coding
3532	chr5	145222794	145223323	+	0	NA	Intergenic	Intergenic	-8684	NM_001363451	72611		NM_028298	ENSMUSG00000007812	Zfp655	2700038I16Rik|9030409O18Rik	zinc finger protein 655	protein-coding
74	chr11	53422658	53423487	+	0	NA	promoter-TSS (NM_153069)	promoter-TSS (NM_153069)	64	NM_153069	259301		NM_153069	ENSMUSG00000036216	Leap2	leap-2	liver-expressed antimicrobial peptide 2	protein-coding
5621	chr5	146316048	146316781	+	0	NA	Intergenic	Lx5|LINE|L1	-68592	NM_145155	245880		NM_145155	ENSMUSG00000029636	Wasf3	Scar3|Wave3	WASP family, member 3	protein-coding
1873	chr15	76811206	76811510	+	0	NA	intron (NM_198420, intron 1 of 10)	MLTR18B_MM|LTR|ERVK	6808	NM_198420	223666		NM_198420	ENSMUSG00000033697	Arhgap39	9530053N22|D15Wsu169e|Kiaa1688|Porf-2	Rho GTPase activating protein 39	protein-coding
6136	chr14	96990577	96991091	+	0	NA	Intergenic	Intergenic	-471800	NM_053105	93688		NM_053105	ENSMUSG00000022076	Klhl1	mKIAA1490	kelch-like 1	protein-coding
614	chr1	37341885	37342229	+	0	NA	intron (NM_001374629, intron 1 of 24)	intron (NM_001374629, intron 1 of 24)	-27160	NM_172971	269180		NM_030266	ENSMUSG00000026113	Inpp4a	107kDa|9630012D15|D130048C09Rik	inositol polyphosphate-4-phosphatase, type I	protein-coding
5854	chr6	86636433	86636770	+	0	NA	Intergenic	Intergenic	8427	NM_026414	67855		NM_026414	ENSMUSG00000033508	Asprv1	2300003P22Rik|SASP|SASPase|Taps	aspartic peptidase, retroviral-like 1	protein-coding
2852	chr3	83003079	83003584	+	0	NA	Intergenic	Intergenic	-4393	NM_133862	99571		NM_133862	ENSMUSG00000033860	Fgg	3010002H13Rik	fibrinogen gamma chain	protein-coding
1050	chr11	6474864	6476580	+	0	NA	exon (NM_011221, exon 1 of 1)	exon (NM_011221, exon 1 of 1)	354	NM_011221	19291		NM_011221	ENSMUSG00000094483	Purb	2310015K15Rik|Cager-2|D11Bwg0414e	purine rich element binding protein B	protein-coding
1543	chr12	118300862	118302711	+	0	NA	promoter-TSS (NM_009239)	promoter-TSS (NM_009239)	-346	NM_001166385	20688		NM_009239	ENSMUSG00000025323	Sp4	5730497N03Rik|HF-1b|HF1-b	trans-acting transcription factor 4	protein-coding
5266	chr11	120353451	120354228	+	0	NA	Intergenic	Intergenic	5161	NR_038126	66838		NR_038126	ENSMUSG00000043644	0610009L18Rik	-	RIKEN cDNA 0610009L18 gene	ncRNA
3405	chr5	117365705	117366674	+	0	NA	intron (NM_021539, intron 2 of 8)	intron (NM_021539, intron 2 of 8)	8884	NM_021539	59043		NM_021539	ENSMUSG00000029364	Wsb2	Swip2|WSB-2	WD repeat and SOCS box-containing 2	protein-coding
5416	chr17	84185962	84186326	+	0	NA	exon (NM_001001806, exon 2 of 2)	exon (NM_001001806, exon 2 of 2)	1803	NM_001001806	12193		NM_007565	ENSMUSG00000045817	Zfp36l2	Brf2|ERF2|Tis11d	zinc finger protein 36, C3H type-like 2	protein-coding
4288	chr9	68940686	68941472	+	0	NA	intron (NM_013646, intron 1 of 10)	intron (NM_013646, intron 1 of 10)	175733	NR_033299	320440		NM_177159		9530091C08Rik	-	RIKEN cDNA 9530091C08 gene	ncRNA
3034	chr4	59558302	59558817	+	0	NA	Intergenic	Intergenic	-9195	NM_144904	230257		NM_144904	ENSMUSG00000028382	Ptbp3	5830471K22Rik|Rod1	polypyrimidine tract binding protein 3	protein-coding
6153	chr10	76905968	76906299	+	0	NA	intron (NM_021568, intron 1 of 15)	intron (NM_021568, intron 1 of 15)	55814	NM_001347216	59093		NM_021568	ENSMUSG00000001120	Pcbp3	AlphaCP-3	poly(rC) binding protein 3	protein-coding
417	chr4	118122107	118122469	+	0	NA	intron (NM_001285521, intron 1 of 10)	intron (NM_001285521, intron 1 of 10)	12658	NM_009176	20441		NM_009176	ENSMUSG00000028538	St3gal3	ST3GalIII|ST3N|Siat3|Siat6	ST3 beta-galactoside alpha-2,3-sialyltransferase 3	protein-coding
