PeakID (cmd=annotatePeaks.pl beds/community4.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
967	chr13	94523236	94523673	+	0	NA	intron (NM_009680, intron 22 of 26)	intron (NM_009680, intron 22 of 26)	164494	NM_009680	11774		NM_009680	ENSMUSG00000021686	Ap3b1	AP-3|Hps2|beta3A|pe|pearl|rim2	adaptor-related protein complex 3, beta 1 subunit	protein-coding
1400	chr11	69613621	69613848	+	0	NA	Intergenic	Intergenic	4171	NM_011367	20415		NM_011367	ENSMUSG00000005202	Shbg	ABP	sex hormone binding globulin	protein-coding
453	chr12	17565311	17566093	+	0	NA	Intergenic	Intergenic	20829	NM_013614	18263		NM_013614	ENSMUSG00000011179	Odc1	ODC	ornithine decarboxylase, structural 1	protein-coding
1457	chr5	151417437	151417980	+	0	NA	intron (NR_131166, intron 1 of 3)	MTD|LTR|ERVL-MaLR	11204	NR_131166	100042166		NR_131166	ENSMUSG00000097321	Gm3704	-	predicted gene 3704	ncRNA
42	chr1	160844709	160845389	+	0	NA	Intergenic	Lx2|LINE|L1	-52111	NM_013862	29809		NM_013862	ENSMUSG00000026721	Rabgap1l	5830411O09Rik|8430421H08Rik|9630005B12Rik|HHL|Hh1|mKIAA0471	RAB GTPase activating protein 1-like	protein-coding
1276	chr7	128671986	128673074	+	0	NA	intron (NM_178641, intron 9 of 19)	intron (NM_178641, intron 9 of 19)	-16340	NM_001346517	101490		NM_178641	ENSMUSG00000042105	Inpp5f	5830435P03Rik|SAC2|cI-27|hSAC2|mKIAA0966	inositol polyphosphate-5-phosphatase F	protein-coding
915	chr1	171081714	171082279	+	0	NA	Intergenic	Intergenic	-17344	NR_106103	102466998		NR_106103	ENSMUSG00000118979	Mir6546	Gm27408|mmu-mir-6546	microRNA 6546	ncRNA
529	chr15	12306221	12307110	+	0	NA	Intergenic	Intergenic	-14831	NM_025673	66629		NM_025673	ENSMUSG00000022200	Golph3	4733401N08Rik|5730410D03Rik	golgi phosphoprotein 3	protein-coding
1510	chr5	140023985	140024176	+	0	NA	intron (NR_152617, intron 16 of 16)	intron (NR_152617, intron 16 of 16)	116214	NM_175522	243312		NM_175522	ENSMUSG00000048988	Elfn1	A930017N06Rik|Ppp1r28	leucine rich repeat and fibronectin type III, extracellular 1	protein-coding
536	chr15	35538246	35538807	+	0	NA	intron (NM_177151, intron 19 of 61)	Lx7|LINE|L1	122392	NR_035527	100316736		NR_035527	ENSMUSG00000076333	Mir599	mmu-mir-599	microRNA 599	ncRNA
1098	chr6	108206876	108207561	+	0	NA	Intergenic	Intergenic	5700	NR_167934	105242735		NR_167934		Gm38872	-	predicted gene, 38872	ncRNA
1571	chr9	50813844	50814157	+	0	NA	intron (NM_133981, intron 13 of 14)	intron (NM_133981, intron 13 of 14)	38775	NM_133981	102580		NM_133981	ENSMUSG00000032059	Alg9	8230402H15Rik|B430313H07Rik|Dibd1	ALG9 alpha-1,2-mannosyltransferase	protein-coding
38	chr1	135250605	135251263	+	0	NA	Intergenic	Intergenic	7538	NM_001163131	13710		NM_007921	ENSMUSG00000003051	Elf3	ESE-1|ESX|jen	E74-like factor 3	protein-coding
442	chr11	115804759	115805632	+	0	NA	intron (NM_080643, intron 7 of 19)	intron (NM_080643, intron 7 of 19)	8397	NM_080643	140721		NM_080643	ENSMUSG00000034471	Caskin2	1600028L06Rik|mKIAA1139	CASK-interacting protein 2	protein-coding
1374	chr5	146678948	146679666	+	0	NA	Intergenic	Intergenic	-94068	NM_001010941	14738		NM_008151	ENSMUSG00000041468	Gpr12	Gpcr01|Gpcr12|Gpcr20|Gpcr21	G-protein coupled receptor 12	protein-coding
1609	chr5	99482554	99482946	+	0	NA	intron (NR_030692, intron 2 of 3)	intron (NR_030692, intron 2 of 3)	-199671	NR_168095	102638080		NR_166665	ENSMUSG00000089743	Gm16226	Gm38691	predicted gene 16226	ncRNA
109	chr13	29968533	29969100	+	0	NA	intron (NM_010093, intron 1 of 6)	B4|SINE|B4	15575	NM_001289920	13557		NM_010093	ENSMUSG00000016477	E2f3	E2F3b|E2f3a	E2F transcription factor 3	protein-coding
