PeakID (cmd=annotatePeaks.pl beds/community3.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
670	chr13	95563611	95564036	+	0	NA	Intergenic	Intergenic	-38583	NM_007974	14063		NM_007974	ENSMUSG00000021678	F2rl1	Gpcr11|PAR-2|Par2	F2R like trypsin receptor 1	protein-coding
972	chr7	110930515	110930777	+	0	NA	intron (NM_194464, intron 2 of 20)	intron (NM_194464, intron 2 of 20)	15541	NM_010826	17540		NM_010826	ENSMUSG00000005611	Irag1	Irag|Mrvi1|Ris1	inositol 1,4,5-triphosphate receptor associated 1	protein-coding
1992	chr9	102926164	102926458	+	0	NA	Intergenic	B4|SINE|B4	-82176	NR_157194	24059		NM_033314	ENSMUSG00000032548	Slco2a1	2310021C19Rik|OATP2A1|PHOAR2|Pgt|Slc21a2	solute carrier organic anion transporter family, member 2a1	protein-coding
1826	chr12	3780942	3781859	+	0	NA	non-coding (NR_149729, exon 19 of 19)	non-coding (NR_149729, exon 19 of 19)	-25580	NM_007872	13435		NM_007872	ENSMUSG00000020661	Dnmt3a	MmuIIIA	DNA methyltransferase 3A	protein-coding
1531	chr12	13214972	13215234	+	0	NA	Intergenic	Intergenic	34071	NM_134040	104721		NM_134040	ENSMUSG00000037149	Ddx1	DBP-RB	DEAD box helicase 1	protein-coding
1032	chr9	96705415	96705912	+	0	NA	intron (NM_001359959, intron 2 of 2)	intron (NM_001359959, intron 2 of 2)	13782	NM_001359960	245007		NM_175537	ENSMUSG00000040433	Zbtb38	A930014K01Rik|CIBZ	zinc finger and BTB domain containing 38	protein-coding
1732	chr11	3131994	3132604	+	0	NA	TTS (NR_003517)	TTS (NR_003517)	8297	NR_003517	236604		NM_001004146	ENSMUSG00000121500	Pisd-ps1	-	phosphatidylserine decarboxylase, pseudogene 1	pseudo
2058	chr13	112866810	112867159	+	0	NA	TTS (NM_028151)	TTS (NM_028151)	60396	NM_028151	72198		NM_028151	ENSMUSG00000016018	Mtrex	2610528A15Rik|Skiv2l2|mKIAA0052	Mtr4 exosome RNA helicase	protein-coding
2076	chr1	15118461	15118932	+	0	NA	Intergenic	RMER17D|LTR|ERVK	-168229	NM_001098528	98741		NM_001033195	ENSMUSG00000092083	Kcnb2	9630047L19Rik|Kv2.2	potassium voltage gated channel, Shab-related subfamily, member 2	protein-coding
1472	chr9	83727554	83728310	+	0	NA	Intergenic	B3A|SINE|B2	36457	NR_046066	100039222		NR_046066	ENSMUSG00000100155	Gm2109	-	predicted gene 2109	ncRNA
1186	chr16	87746791	87747033	+	0	NA	Intergenic	B3|SINE|B2	47958	NM_007520	12013		NM_007520	ENSMUSG00000025612	Bach1	6230421P05Rik	BTB and CNC homology 1, basic leucine zipper transcription factor 1	protein-coding
444	chr15	38049743	38050249	+	0	NA	intron (NM_001081359, intron 1 of 58)	RSINE1|SINE|B4	28858	NM_001112721	70790		NM_027553	ENSMUSG00000037487	Ubr5	Edd|Edd1	ubiquitin protein ligase E3 component n-recognin 5	protein-coding
1397	chr7	3289018	3289446	+	0	NA	5' UTR (NM_001093764, exon 1 of 3)	5' UTR (NM_001093764, exon 1 of 3)	194	NM_001093764	50918		NM_016969	ENSMUSG00000068566	Myadm	D7Wsu62e	myeloid-associated differentiation marker	protein-coding
411	chr12	116071053	116071465	+	0	NA	Intergenic	Intergenic	-6467	NM_009511	22355		NM_009511	ENSMUSG00000011171	Vipr2	VPAC2|VPAC2R|Vip2	vasoactive intestinal peptide receptor 2	protein-coding
902	chr6	4902668	4904265	+	0	NA	intron (NR_156747, intron 1 of 17)	CpG	155	NM_181595	243725		NM_181595	ENSMUSG00000032827	Ppp1r9a	2810430P21Rik|4930518N04Rik|5330407E15|A230094E16Rik|NRB|neurabin-I	protein phosphatase 1, regulatory subunit 9A	protein-coding
600	chr10	59296373	59296605	+	0	NA	Intergenic	Intergenic	-26807	NM_011030	18451		NM_011030	ENSMUSG00000019916	P4ha1	P4ha	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide	protein-coding
916	chr6	86792980	86793876	+	0	NA	intron (NM_013471, intron 1 of 12)	intron (NM_013471, intron 1 of 12)	156	NM_013471	11746		NM_013471	ENSMUSG00000029994	Anxa4	AIV|Anx4|Xanx-4	annexin A4	protein-coding
253	chr4	123182658	123183824	+	0	NA	promoter-TSS (NM_174998)	promoter-TSS (NM_174998)	-263	NM_174998	170638		NM_174998	ENSMUSG00000046093	Hpcal4	NVP-2	hippocalcin-like 4	protein-coding
995	chr8	73319589	73319879	+	0	NA	intron (NM_010687, intron 1 of 14)	intron (NM_010687, intron 1 of 14)	33806	NM_010687	16795		NM_010687	ENSMUSG00000004383	Large1	BPFD#36|Gyltl1a|Large|Mbp-1|Mbp1|enr|fg|froggy|myd	LARGE xylosyl- and glucuronyltransferase 1	protein-coding
