PeakID (cmd=annotatePeaks.pl beds/community0.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
5065	chr10	130542774	130542971	+	0	NA	Intergenic	Intergenic	-45493	NM_001103366	625131		NM_001103366	ENSMUSG00000091511	Vmn2r87	EG625131	vomeronasal 2, receptor 87	protein-coding
4107	chr15	59208009	59208393	+	0	NA	Intergenic	Intergenic	-98747	NR_045613	100416830		NR_045613	ENSMUSG00000121630	Zfp572	4930472F24Rik	zinc finger protein 572	pseudo
2230	chr7	88429846	88430748	+	0	NA	promoter-TSS (NM_028238)	promoter-TSS (NM_028238)	24	NM_028238	72433		NM_028238	ENSMUSG00000030559	Rab38	2310011F14Rik|cht	RAB38, member RAS oncogene family	protein-coding
7902	chr3	133623042	133623901	+	0	NA	Intergenic	Intergenic	-79081	NM_001346736	214133		NM_145989	ENSMUSG00000040943	Tet2	Ayu17-449|E130014J05Rik|mKIAA1546	tet methylcytosine dioxygenase 2	protein-coding
5256	chr11	105197349	105197820	+	0	NA	intron (NM_001294334, intron 2 of 19)	intron (NM_001294334, intron 2 of 19)	16057	NM_001361996	24086		NM_011903	ENSMUSG00000020694	Tlk2	4933403M19Rik|PKU-alpha|PKUalpha|Tlk	tousled-like kinase 2 (Arabidopsis)	protein-coding
36	chr18	38173850	38174796	+	0	NA	Intergenic	Intergenic	35439	NM_029357	75599		NM_029357	ENSMUSG00000051375	Pcdh1	2010005A06Rik	protocadherin 1	protein-coding
1379	chr4	150807910	150808690	+	0	NA	non-coding (NR_168525, exon 1 of 3)	non-coding (NR_168525, exon 1 of 3)	520	NR_168525	105247221		NR_168525		Gm42356	-	predicted gene, 42356	ncRNA
5884	chr15	81047279	81047968	+	0	NA	intron (NM_001082536, intron 2 of 13)	intron (NM_001082536, intron 2 of 13)	57424	NM_153049	223701		NM_153049	ENSMUSG00000042292	Mrtfa	AMKL|Bsac|Mal|Mkl1|Mrtf-A	myocardin related transcription factor A	protein-coding
4494	chr4	75974779	75975105	+	0	NA	intron (NR_160919, intron 33 of 39)	intron (NR_160919, intron 33 of 39)	369301	NM_001368992	19266		NM_011211	ENSMUSG00000028399	Ptprd	1110002J03Rik|3000002J10Rik|B230219D21Rik|R-PTP-delta	protein tyrosine phosphatase receptor type D	protein-coding
1658	chr5	124352074	124352634	+	0	NA	intron (NM_013812, intron 1 of 3)	intron (NM_013812, intron 1 of 3)	2274	NM_013812	13445		NM_013812	ENSMUSG00000029394	Cdk2ap1	Apc10|Cdkap1|DORC1|Doc1|ST19|doc-1|p12	cyclin dependent kinase 2 associated protein 1	protein-coding
1882	chr6	70903433	70904120	+	0	NA	intron (NM_010121, intron 16 of 16)	(CA)n|Simple_repeat|Simple_repeat	15146	NM_001355766	74221		NM_028825	ENSMUSG00000051896	Spmip9	1700011F03Rik|Tex37|Tsc21	sperm microtubule inner protein 9	protein-coding
7611	chr13	12460474	12460765	+	0	NA	intron (NM_018886, intron 1 of 9)	intron (NM_018886, intron 1 of 9)	1119	NM_001291057	56048		NM_018886	ENSMUSG00000057554	Lgals8	1200015E08Rik|D13Ertd524e|Lgals-8	lectin, galactose binding, soluble 8	protein-coding
6543	chr3	109122593	109123589	+	0	NA	promoter-TSS (NM_172685)	promoter-TSS (NM_172685)	-58	NM_172685	229731		NM_172685	ENSMUSG00000040322	Slc25a24	2610016M12Rik|SCaMC-1	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24	protein-coding
100	chr18	67348489	67349311	+	0	NA	intron (NM_007702, intron 1 of 4)	intron (NM_007702, intron 1 of 4)	-4797	NR_033214	338360		NR_033214	ENSMUSG00000046415	B430212C06Rik	-	RIKEN cDNA B430212C06 gene	ncRNA
2290	chr7	115803254	115803628	+	0	NA	intron (NM_001025559, intron 2 of 15)	intron (NM_001025559, intron 2 of 15)	-1832	NM_001277328	20679		NM_011445	ENSMUSG00000051910	Sox6	SOX-LZ	SRY (sex determining region Y)-box 6	protein-coding
2872	chr9	96558606	96558929	+	0	NA	intron (NM_053268, intron 16 of 23)	intron (NM_053268, intron 16 of 23)	-33503	NM_001370882	102635744		NM_001370882	ENSMUSG00000099564	Gm28729	-	predicted gene 28729	protein-coding
