PeakID (cmd=annotatePeaks.pl ../beds/community0.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
8773	chr16	3842694	3843225	+	0	NA	intron (NM_004380, intron 4 of 30)	intron (NM_004380, intron 4 of 30)	-75434	NM_001272049	10131		NM_016292	ENSG00000126602	TRAP1	HSP 75|HSP75|HSP90L|TRAP-1	TNF receptor associated protein 1	protein-coding
7235	chr21	33116441	33118206	+	0	NA	Intergenic	Intergenic	-12892	NM_001145444	57466		NM_020706	ENSG00000156304	SCAF4	FZS|SFRS15|SRA4	SR-related CTD associated factor 4	protein-coding
9372	chr7	38969061	38969722	+	0	NA	Intergenic	Intergenic	-20591	NM_080631	27072		NM_014396	ENSG00000006715	VPS41	HVPS41|HVSP41|SCAR29|hVps41p	VPS41 subunit of HOPS complex	protein-coding
1635	chr8	22254311	22256063	+	0	NA	intron (NM_001351660, intron 1 of 8)	intron (NM_001351660, intron 1 of 8)	4838	NM_001351660	23516		NM_015359	ENSG00000104635	SLC39A14	HCIN|HMNDYT2|LZT-Hs4|NET34|ZIP14|cig19	solute carrier family 39 member 14	protein-coding
6867	chr12	66681591	66682285	+	0	NA	Intergenic	Intergenic	-14335	NM_001370285	92797		NM_033647	ENSG00000127311	HELB	DHB|hDHB	DNA helicase B	protein-coding
4010	chr3	15750257	15751174	+	0	NA	intron (NR_146112, intron 13 of 28)	intron (NR_146112, intron 13 of 28)	-11837	NR_036085	100422990		NR_036085	ENSG00000264354	MIR3134	-	microRNA 3134	ncRNA
8055	chr3	29169320	29170206	+	0	NA	Intergenic	Intergenic	152667	NR_109804	100873979		NR_109804		RBMS3-AS3	-	RBMS3 antisense RNA 3	ncRNA
9031	chr8	124096403	124096815	+	0	NA	intron (NM_001363155, intron 3 of 19)	intron (NM_001363155, intron 3 of 19)	11120	NM_001363149	93594		NM_145647	ENSG00000156787	TBC1D31	Gm85|WDR67	TBC1 domain family member 31	protein-coding
2614	chr7	5718861	5720176	+	0	NA	intron (NR_046834, intron 1 of 2)	intron (NR_046834, intron 1 of 2)	574	NR_046834	100874342		NR_046834	ENSG00000237738	RNF216-IT1	-	RNF216 intronic transcript 1	ncRNA
5376	chr3	161473019	161473933	+	0	NA	Intergenic	Intergenic	258880	NM_001080440	131149		NM_001080440	ENSG00000182447	OTOL1	C1QTNF15|C1QTNF16	otolin 1	protein-coding
6070	chr1	5767638	5768255	+	0	NA	Intergenic	(TGGA)n|Simple_repeat|Simple_repeat	154855	NR_039838	100616421		NR_039838	ENSG00000264101	MIR4689	mir-4689	microRNA 4689	ncRNA
1992	chr13	111034386	111034869	+	0	NA	intron (NM_001846, intron 4 of 47)	intron (NM_001846, intron 4 of 47)	41322	NR_107040	102465872		NR_107040	ENSG00000276765	MIR8073	hsa-mir-8073	microRNA 8073	ncRNA
3501	chr15	45210060	45211129	+	0	NA	Intergenic	Intergenic	-33702	NR_146394	653381		NR_146393	ENSG00000290387	SORD2P	SORD2	sorbitol dehydrogenase 2, pseudogene	pseudo
5409	chr4	107000454	107001114	+	0	NA	intron (NM_001163435, intron 25 of 25)	L1PA11|LINE|L1	-57149	NR_125928	101929577		NR_125928	ENSG00000249635	LOC101929577	-	uncharacterized LOC101929577	ncRNA
4140	chr4	19687685	19688735	+	0	NA	Intergenic	Intergenic	-565318	NM_001289136	9353		NM_004787	ENSG00000145147	SLIT2	SLIL3|Slit-2	slit guidance ligand 2	protein-coding
2280	chr5	55812447	55813493	+	0	NA	intron (NR_161255, intron 4 of 5)	MLT2C1|LTR|ERVL	-35374	NR_104664	102467147		NR_104664	ENSG00000248727	LINC01948	-	long intergenic non-protein coding RNA 1948	ncRNA
4246	chr5	3845251	3845878	+	0	NA	Intergenic	ERVL-E-int|LTR|ERVL	249618	NM_024337	79192		NM_024337	ENSG00000170549	IRX1	IRX-5|IRXA1	iroquois homeobox 1	protein-coding
2186	chr22	25381293	25382197	+	0	NA	Intergenic	polypurine|Low_complexity|Low_complexity	-39083	NM_001001663	255349		NM_001001663	ENSG00000206069	LHFPL7	TMEM211|bA9F11.1	LHFPL tetraspan subfamily member 7	protein-coding
9369	chr4	125381151	125381991	+	0	NA	Intergenic	GA-rich|Low_complexity|Low_complexity	98018	NR_110838	101927087		NR_110838	ENSG00000261083	LINC02516	-	long intergenic non-protein coding RNA 2516	ncRNA
4678	chr8	64138865	64139517	+	0	NA	Intergenic	MLT1H2|LTR|ERVL-MaLR	57629	NM_001277818	253943		NM_152758	ENSG00000185728	YTHDF3	DF3	YTH N6-methyladenosine RNA binding protein F3	protein-coding
3109	chr1	230029584	230030526	+	0	NA	promoter-TSS (NR_146475)	promoter-TSS (NR_146475)	-400	NR_146475	101927504		NR_146473	ENSG00000227043	LINC01682	-	long intergenic non-protein coding RNA 1682	ncRNA
6618	chr6	24547331	24547977	+	0	NA	intron (NM_001168377, intron 18 of 18)	intron (NM_001168377, intron 18 of 18)	35801	NM_001252328	9856		NM_014809	ENSG00000137261	KIAA0319	DYLX2|DYX2|NMIG	KIAA0319	protein-coding
4207	chr4	140808199	140809293	+	0	NA	intron (NM_018717, intron 2 of 4)	intron (NM_018717, intron 2 of 4)	221773	NM_001204368	4258		NM_002413	ENSG00000085871	MGST2	GST2|MGST-II	microsomal glutathione S-transferase 2	protein-coding
10153	chr11	110396407	110397274	+	0	NA	Intergenic	Intergenic	96168	NM_004109	2230		NM_004109	ENSG00000137714	FDX1	ADX|FDX|LOH11CR1D	ferredoxin 1	protein-coding
7914	chr6	138299323	138300005	+	0	NA	Intergenic	Intergenic	-32727	NR_149097	105378020		NR_149097	ENSG00000226004	SIMALR	LINC02528	suppressor of inflammatory macrophage apoptosis lncRNA	ncRNA
2292	chr5	115905567	115906212	+	0	NA	intron (NM_001300780, intron 1 of 19)	intron (NM_001300780, intron 1 of 19)	-4225	NR_147170	105379132		NR_147170	ENSG00000249167	SEMA6A-AS2	-	SEMA6A antisense RNA 2	ncRNA
