PeakID (cmd=annotatePeaks.pl ../beds/community2.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
556	chr1	212228453	212229152	+	0	NA	intron (NM_001286229, intron 4 of 12)	L1MA4A|LINE|L1	-3409	NR_026911	100131205		NR_026911	ENSG00000220749	RPL21P28	RPL21_8_160	ribosomal protein L21 pseudogene 28	pseudo
2586	chr1	169672767	169673208	+	0	NA	intron (NR_029467, intron 3 of 6)	intron (NR_029467, intron 3 of 6)	5011	NR_029467	6402		NM_000655	ENSG00000188404	SELL	CD62L|LAM1|LECAM1|LEU8|LNHR|LSEL|LYAM1|PLNHR|TQ1	selectin L	protein-coding
1646	chr18	8051327	8052733	+	0	NA	intron (NM_001378146, intron 3 of 29)	intron (NM_001378146, intron 3 of 29)	105157	NM_001378145	5797		NM_002845	ENSG00000173482	PTPRM	PTPRL1|R-PTP-MU|RPTPM|RPTPU|hR-PTPu	protein tyrosine phosphatase receptor type M	protein-coding
4310	chr10	85714012	85714717	+	0	NA	Intergenic	Intergenic	-184901	NM_014394	27069		NM_014394	ENSG00000165678	GHITM	DERP2|HSPC282|MICS1|My021|PTD010|TMBIM5	growth hormone inducible transmembrane protein	protein-coding
1599	chr13	80025670	80026171	+	0	NA	Intergenic	Intergenic	-29339	NM_019080	54602		NM_019080	ENSG00000102471	NDFIP2	N4WBP5A	Nedd4 family interacting protein 2	protein-coding
2725	chr20	59854407	59855275	+	0	NA	intron (NM_001794, intron 2 of 15)	intron (NM_001794, intron 2 of 15)	27524	NM_001794	1002		NM_001794	ENSG00000179242	CDH4	CAD4|R-CAD|RCAD	cadherin 4	protein-coding
5242	chr1	62715718	62716253	+	0	NA	intron (NM_181712, intron 8 of 9)	intron (NM_181712, intron 8 of 9)	55464	NM_001164835	54596		NM_019079	ENSG00000240563	L1TD1	ECAT11	LINE1 type transposase domain containing 1	protein-coding
2335	chr8	19940718	19941834	+	0	NA	Intergenic	HERVL74-int|LTR|ERVL	99371	NM_003053	6570		NM_003053	ENSG00000036565	SLC18A1	CGAT|VAT1|VMAT1	solute carrier family 18 member A1	protein-coding
2781	chr5	18000131	18001441	+	0	NA	Intergenic	L1M3de|LINE|L1	193403	NR_134287	646241		NR_134286		LINC02223	-	long intergenic non-protein coding RNA 2223	ncRNA
1393	chr5	168357748	168359113	+	0	NA	intron (NM_003062, intron 4 of 35)	L2b|LINE|L2	-81802	NR_109897	728095		NR_109897		SLIT3-AS1	-	SLIT3 antisense RNA 1	ncRNA
