PeakID (cmd=annotatePeaks.pl ../beds/community1.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
5698	chr18	5542599	5544311	+	0	NA	intron (NM_001384697, intron 1 of 18)	CpG	541	NM_001384691	23136		NM_012307	ENSG00000082397	EPB41L3	4.1B|DAL-1|DAL1	erythrocyte membrane protein band 4.1 like 3	protein-coding
5102	chr9	79631184	79631451	+	0	NA	Intergenic	CpG	-3254	NM_001013735	442425		NM_001013735	ENSG00000204612	FOXB2	FKH4|bA159H20.4	forkhead box B2	protein-coding
4807	chr8	24155053	24155727	+	0	NA	intron (NR_125808, intron 4 of 5)	intron (NR_125808, intron 4 of 5)	3808	NR_130710	10863		NM_014265	ENSG00000042980	ADAM28	ADAM 28|MDC-L|MDCL|eMDC II|eMDCII	ADAM metallopeptidase domain 28	protein-coding
6617	chr11	133894438	133895082	+	0	NA	Intergenic	Intergenic	-7407	NR_027276	100128239		NR_027276	ENSG00000204241	LINC02731	-	long intergenic non-protein coding RNA 2731	ncRNA
6987	chr3	140489754	140490940	+	0	NA	Intergenic	L2a|LINE|L2	93441	NM_152616	287015		NM_152616	ENSG00000155890	TRIM42	PPP1R40|T4A1	tripartite motif containing 42	protein-coding
6315	chr9	7297934	7298469	+	0	NA	Intergenic	Intergenic	501577	NM_033428	90871		NM_033428	ENSG00000137038	DMAC1	C9orf123|TMEM261	distal membrane arm assembly component 1	protein-coding
841	chr11	33037115	33038053	+	0	NA	promoter-TSS (NM_139160)	promoter-TSS (NM_139160)	-144	NM_139160	91614		NM_139160	ENSG00000121690	DEPDC7	TR2|dJ85M6.4	DEP domain containing 7	protein-coding
8396	chr19	18405485	18405639	+	0	NA	Intergenic	Intergenic	12675	NR_036155	100422833		NR_036155	ENSG00000267959	MIR3188	mir-3188	microRNA 3188	ncRNA
283	chr1	156261066	156261796	+	0	NA	promoter-TSS (NM_001323617)	promoter-TSS (NM_001323617)	-142	NM_001323617	23381		NM_015327	ENSG00000198952	SMG5	EST1B|LPTS-RP1|LPTSRP1|SMG-5	SMG5 nonsense mediated mRNA decay factor	protein-coding
285	chr1	156521386	156521894	+	0	NA	exon (NM_178229, exon 15 of 38)	exon (NM_178229, exon 15 of 38)	20717	NM_178229	128239		NM_178229	ENSG00000183856	IQGAP3	-	IQ motif containing GTPase activating protein 3	protein-coding
6286	chr8	65492691	65494433	+	0	NA	exon (NM_152414, exon 1 of 1)	exon (NM_152414, exon 1 of 1)	640	NM_152414	27319		NM_152414	ENSG00000180828	BHLHE22	BHLHB5|Beta3|Beta3a|CAGL85|TNRC20	basic helix-loop-helix family member e22	protein-coding
7231	chr20	5573448	5575284	+	0	NA	intron (NM_019593, intron 3 of 19)	L2c|LINE|L2	17286	NM_019593	56261		NM_019593	ENSG00000125772	GPCPD1	EDI3|GDE5|GDPD6|PREI4	glycerophosphocholine phosphodiesterase 1	protein-coding
7251	chr3	9001490	9001692	+	0	NA	intron (NM_020165, intron 1 of 12)	L1MC4a|LINE|L1	3565	NM_020165	56852		NM_020165	ENSG00000070950	RAD18	RNF73	RAD18 E3 ubiquitin protein ligase	protein-coding
3070	chr22	26046782	26047937	+	0	NA	intron (NM_005160, intron 3 of 20)	intron (NM_005160, intron 3 of 20)	86717	NM_001362778	157		NM_005160	ENSG00000100077	GRK3	ADRBK2|BARK2	G protein-coupled receptor kinase 3	protein-coding
2695	chr2	169457985	169458751	+	0	NA	intron (NM_203463, intron 3 of 9)	intron (NM_203463, intron 3 of 9)	18915	NR_039933	100616356		NR_039933	ENSG00000265694	MIR4774	-	microRNA 4774	ncRNA
5882	chr20	48890674	48891953	+	0	NA	intron (NM_001278655, intron 1 of 3)	MIRb|SINE|MIR	7290	NM_001278655	100506115		NM_001278655	ENSG00000224397	PELATON	GCRL1|LINC01272|SMIM25	plaque enriched lncRNA in atherosclerotic and inflammatory bowel macrophage regulation	ncRNA
4187	chr6	46097167	46098351	+	0	NA	promoter-TSS (NM_014936)	promoter-TSS (NM_014936)	33	NM_014936	22875		NM_014936	ENSG00000001561	ENPP4	NPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4	protein-coding
2397	chr2	30504851	30505692	+	0	NA	Intergenic	Intergenic	50871	NM_030915	81606		NM_030915	ENSG00000213626	LBH	-	LBH regulator of WNT signaling pathway	protein-coding
6564	chr9	120506417	120507528	+	0	NA	Intergenic	Intergenic	40291	NM_138557	7099		NM_003266	ENSG00000136869	TLR4	ARMD10|CD284|TLR-4|TOLL	toll like receptor 4	protein-coding
4677	chr7	115050353	115051691	+	0	NA	Intergenic	MLT1J-int|LTR|ERVL-MaLR	170473	NR_145801	109623459		NR_145801	ENSG00000202377	SNORA25B	-	small nucleolar RNA, H/ACA box 25B	snoRNA
4375	chr6	149771798	149773025	+	0	NA	exon (NM_207360, exon 6 of 6)	exon (NM_207360, exon 6 of 6)	33739	NM_207360	340152		NM_207360	ENSG00000178199	ZC3H12D	C6orf95|MCPIP4|TFL|dJ281H8.1|p34	zinc finger CCCH-type containing 12D	protein-coding
7188	chr2	42826619	42827548	+	0	NA	intron (NM_020744, intron 3 of 13)	AluSc8|SINE|Alu	31311	NM_001330444	57504		NM_020744	ENSG00000057935	MTA3	-	metastasis associated 1 family member 3	protein-coding
276	chr1	154152594	154153146	+	0	NA	intron (NM_152263, intron 2 of 9)	intron (NM_152263, intron 2 of 9)	-2190	NM_001278191	7170		NM_152263	ENSG00000143549	TPM3	CAPM1|CFTD|CMYP4A|CMYP4B|HEL-189|HEL-S-82p|NEM1|OK/SW-cl.5|TM-5|TM3|TM30|TM30nm|TM5|TPM3nu|TPMsk3|TRK|hscp30	tropomyosin 3	protein-coding
45	chr1	15890091	15891111	+	0	NA	non-coding (NR_109898, exon 10 of 15)	non-coding (NR_109898, exon 10 of 15)	20945	NM_024758	79814		NM_024758	ENSG00000116771	AGMAT	-	agmatinase (putative)	protein-coding
3922	chr5	88737629	88738475	+	0	NA	intron (NR_136221, intron 5 of 6)	intron (NR_136221, intron 5 of 6)	-538130	NM_001131005	4208		NM_002397	ENSG00000081189	MEF2C	C5DELq14.3|DEL5q14.3|NEDHSIL	myocyte enhancer factor 2C	protein-coding
7403	chr8	67782597	67783442	+	0	NA	promoter-TSS (NM_173518)	promoter-TSS (NM_173518)	13	NM_173518	157777		NM_173518	ENSG00000178460	MCMDC2	C8orf45	minichromosome maintenance domain containing 2	protein-coding
1784	chr16	21294729	21295575	+	0	NA	intron (NM_001888, intron 1 of 9)	CpG	-5541	NM_001376256	1428		NM_001888	ENSG00000103316	CRYM	DFNA40|THBP	crystallin mu	protein-coding
3652	chr4	77341802	77343479	+	0	NA	Intergenic	CpG	-13742	NM_020859	57619		NM_020859	ENSG00000138771	SHROOM3	APXL3|MSTP013|SHRM|ShrmL	shroom family member 3	protein-coding
4076	chr6	1554388	1555621	+	0	NA	Intergenic	Intergenic	-50762	NR_125804	101927703		NR_125804		FOXCUT	LINC01379|TCONS_00011636	FOXC1 upstream transcript	ncRNA
157	chr1	65426468	65426719	+	0	NA	intron (NM_001321853, intron 2 of 26)	Tigger15a|DNA|TcMar-Tigger	5639	NM_002227	3716		NM_002227	ENSG00000162434	JAK1	AIIDE|JAK1A|JAK1B|JTK3	Janus kinase 1	protein-coding
6195	chr7	20950211	20951425	+	0	NA	intron (NR_126381, intron 2 of 4)	L3b|LINE|CR1	75768	NR_126381	104355138		NR_126381	ENSG00000232790	LINC01162	-	long intergenic non-protein coding RNA 1162	ncRNA
3961	chr5	122116113	122116472	+	0	NA	intron (NM_001278199, intron 1 of 14)	AluSg|SINE|Alu	5517	NM_003100	6643		NM_003100	ENSG00000205302	SNX2	TRG-9	sorting nexin 2	protein-coding
3632	chr4	71757937	71758393	+	0	NA	Intergenic	Intergenic	-9921	NM_173468	92597		NM_173468	ENSG00000173542	MOB1B	MATS2|MOB4A|MOBKL1A	MOB kinase activator 1B	protein-coding
7678	chr5	140749519	140750230	+	0	NA	promoter-TSS (NM_032097)	promoter-TSS (NM_032097)	65	NM_018924	56102		NM_018924	ENSG00000262209	PCDHGB3	PCDH-GAMMA-B3	protocadherin gamma subfamily B, 3	protein-coding
8116	chr8	28958902	28959397	+	0	NA	intron (NM_015254, intron 35 of 39)	intron (NM_015254, intron 35 of 39)	161438	NM_015254	23303		NM_015254	ENSG00000197892	KIF13B	GAKIN	kinesin family member 13B	protein-coding
2276	chr19	38523531	38525706	+	0	NA	intron (NM_015073, intron 2 of 21)	intron (NM_015073, intron 2 of 21)	126770	NM_015073	23094		NM_015073	ENSG00000105738	SIPA1L3	CTRCT45|SPAL3|SPAR3	signal induced proliferation associated 1 like 3	protein-coding
1885	chr16	88077719	88080194	+	0	NA	intron (NM_001384942, intron 11 of 12)	intron (NM_001384942, intron 11 of 12)	55635	NR_120310	400553		NR_120310	ENSG00000205037	LOC400553	-	uncharacterized LOC400553	ncRNA
482	chr1	233201868	233202403	+	0	NA	intron (NM_014801, intron 23 of 33)	MER52A|LTR|ERV1	115547	NR_138027	84284		NM_032324	ENSG00000135778	NTPCR	C1orf57|HCR-NTPase|THEP1	nucleoside-triphosphatase, cancer-related	protein-coding
